(企業與服務)	安昇汽車修護場	Automotive	[0.7685185185185185, 0, 0.23148148148148148]
(娛樂)	奕辰精工二輪	Local Business	[0.7080250426863973, 0.01593625498007968, 0.27603870233352307]
(物品)	石老師文理補習班	Education	[0.8503401360544217, 0.006802721088435374, 0.14285714285714285]
(地方)	酒饕客餐酒館	Local Business	[0.33919446949203486, 0.009467989179440937, 0.6513375413285242]
(娛樂)	台中市松竹寺	Church/Religious Organization	[0.5714285714285714, 0.0761904761904762, 0.3523809523809524]
(企業與服務)	彤琳髮粧	Spas/Beauty/Personal Care	[0.7967914438502673, 0, 0.20320855614973263]
(地方)	阿卿海鮮店	Restaurant/Cafe	[0.3067484662576687, 0.015337423312883436, 0.6779141104294478]
(物品)	家畫廊	Museum/Art Gallery	[0.9436156763590392, 0.0042983565107458915, 0.05208596713021492]
(地方)	柳淳居平價民宿	Local Business	[0.28888888888888886, 0, 0.7111111111111111]
(地方)	MIGULU (米格魯)	Restaurant/Cafe	[0.17312053758924822, 0.000251994960100798, 0.826627467450651]
(地方)	佐賀日式料理	Restaurant/Cafe	[0.33217993079584773, 0.0017301038062283738, 0.6660899653979239]
(物品)	和興彈簧工業社	Small Business	[0.9, 0, 0.1]
(地方)	禾光牧場-羊咩咩的家	Tours/Sightseeing	[0.16679841897233202, 0.0044795783926218705, 0.8287220026350461]
(地方)	I show 愛秀髮型 總店	Spas/Beauty/Personal Care	[0.2, 0, 0.8]
(人物與團體)	光良 Michael Wong	Entertainer	[0.9525373586695833, 0.04746264133041668, 0]
(地方)	台輪時尚旅店	Hotel	[0.22939068100358423, 0.008960573476702509, 0.7616487455197133]
(人物與團體)	台灣烏克麗麗桃園店	Sports/Recreation/Activities	[0.9995536801103627, 0.00044631988963726363, 0]
(地方)	國立臺中教育大學進修推廣部	University	[0.5199590583418628, 0.00511770726714432, 0.4749232343909928]
(人物與團體)	彩色木馬韓國童衣	Local Business	[0.9375886524822695, 0.05815602836879433, 0.00425531914893617]
(地方)	鄧家牛肉麵	Local Business	[0.24031007751937986, 0, 0.7596899224806202]
(地方)	金車生技水產養殖研發中心	Tours/Sightseeing	[0.5623100303951368, 0.0364741641337386, 0.4012158054711246]
(人物與團體)	國立花蓮高級農業職業學校	School	[0.9834368530020704, 0.016563146997929608, 0]
(地方)	曼都髮型竹東店	Professional Services	[0.5609007164790174, 0.02456499488229273, 0.41453428863868985]
(地方)	哈里歐法式蔬食咖啡館－台中精誠店	Restaurant/Cafe	[0.33138780804150453, 0.0019455252918287938, 0.6666666666666666]
(地方)	新莊花園夜市in點心	Local Business	[0.08125, 0, 0.91875]
(人物與團體)	三十張燒烤	Food/Grocery	[1.0, 0, 0]
(人物與團體)	好婆婆專業月子餐-斗六店	Professional Services	[1.0, 0, 0]
(地方)	橘子服飾精品童裝	Local Business	[0.4361111111111111, 0.029166666666666667, 0.5347222222222222]
(娛樂)	李順茶工廠	Food/Beverages	[0.5166270783847982, 0.15676959619952494, 0.32660332541567694]
(娛樂)	宜蘭縣自然史教育館	Museum/Art Gallery	[0.7082352941176471, 0.009411764705882352, 0.2823529411764706]
(娛樂)	武廟大上海香酥雞	Food/Grocery	[0.6322418136020151, 0.0025188916876574307, 0.36523929471032746]
(人物與團體)	高雄市美濃區戶政事務所	Government Organization	[1.0, 0, 0]
(娛樂)	嘉點魯味	Restaurant/Cafe	[0.7015209125475285, 0.04752851711026616, 0.2509505703422053]
(娛樂)	U樂森活	Outdoor Gear/Sporting Goods	[0.6779661016949152, 0, 0.3220338983050847]
(地方)	墾丁慕蘭旅店	Hotel	[0.5646153846153846, 0.004615384615384616, 0.4307692307692308]
(人物與團體)	藍世界水族寵物城-鶯歌店	Pet Services	[1.0, 0, 0]
(企業與服務)	綠晶足身按摩	Spas/Beauty/Personal Care	[0.8125, 0, 0.1875]
(人物與團體)	Curves 可爾姿內湖西湖店	Sports/Recreation/Activities	[0.9411764705882353, 0.058823529411764705, 0]
(地方)	赤崁樓豆花	Local Business	[0.4229934924078091, 0.004338394793926247, 0.5726681127982647]
(人物與團體)	大新帆布行	Outdoor Gear/Sporting Goods	[0.9833333333333333, 0, 0.016666666666666666]
(地方)	艾蒂爾團體服飾 高雄門市	Local Business	[0.2837988826815642, 0.00409683426443203, 0.7121042830540038]
(娛樂)	瞳眼瞳羽  美睫工作室	Spas/Beauty/Personal Care	[0.6438356164383562, 0.0976027397260274, 0.2585616438356164]
(地方)	佛光山屏東講堂	Church/Religious Organization	[0.4207566462167689, 0.015337423312883436, 0.5639059304703476]
(人物與團體)	ML & Matteo Liu	Clothing	[0.994506701823775, 0.005493298176225006, 0]
(物品)	車麻吉專業車體美容	Automotive	[0.8846153846153846, 0, 0.11538461538461539]
(娛樂)	立鼎鐵板燒《福德店》	Restaurant/Cafe	[0.678395061728395, 0.04876543209876543, 0.27283950617283953]
(企業與服務)	名耐自動車	Automotive	[0.8112644005120182, 0.12743564215616554, 0.06129995733181624]
(地方)	小蒙牛高雄店	Restaurant/Cafe	[0.0576028870844611, 0.00659310153376362, 0.9358040113817753]
(地方)	石二月鍋之物三民	Restaurant/Cafe	[0.34865213248893123, 0.0046797063274113095, 0.6466681611836574]
(地方)	米高租書坊	Book Store	[0.3609090909090909, 0.0036363636363636364, 0.6354545454545455]
(地方)	慢慢韓食堂	Restaurant/Cafe	[0.39548494983277593, 0.027591973244147156, 0.5769230769230769]
(企業與服務)	下港煙燻鴨肉麵	Restaurant/Cafe	[0.831858407079646, 0, 0.168141592920354]
(娛樂)	林記 筒仔米糕	Food/Grocery	[0.6460176991150443, 0, 0.35398230088495575]
(地方)	菊楓食堂日式平價料理	Restaurant/Cafe	[0.40095181439619276, 0.009518143961927425, 0.5895300416418798]
(物品)	苗林行	Food/Beverages	[0.8948901464713716, 0.0428595206391478, 0.06225033288948069]
(人物與團體)	麵條王海產麵	Food/Grocery	[0.8744939271255061, 0.12550607287449392, 0]
(人物與團體)	美泉冰淇淋工廠	Food/Grocery	[1.0, 0, 0]
(地方)	尹都比炸雞土城店	Food/Grocery	[0.5573770491803278, 0, 0.4426229508196721]
(地方)	阿明東山鴨頭	Food/Beverages	[0.07407407407407407, 0, 0.9259259259259259]
(物品)	勝利補習班(孟翰數學)	Organization	[0.8928571428571429, 0.00510204081632653, 0.10204081632653061]
(地方)	Meru城乙化工	Health/Beauty	[0.47477744807121663, 0.01483679525222552, 0.5103857566765578]
(地方)	Mondovino 酒趣	Local Business	[0.4789272030651341, 0.04179728317659352, 0.4792755137582724]
(地方)	御鼎站	Food/Grocery	[0.29608938547486036, 0.0186219739292365, 0.6852886405959032]
(娛樂)	巨林美而美漢口店	Food/Grocery	[0.7407407407407407, 0.018518518518518517, 0.24074074074074073]
(物品)	美利達自行車屏東專賣店	Outdoor Gear/Sporting Goods	[0.8571428571428571, 0.007936507936507936, 0.1349206349206349]
(物品)	美の睫作 美學工作室	Spas/Beauty/Personal Care	[0.8449197860962567, 0.01871657754010695, 0.13636363636363635]
(地方)	得嘉的店-多來家昆明店	Local Business	[0.19298245614035087, 0, 0.8070175438596491]
(人物與團體)	彫宗刺青	Public Figure	[0.9958793472886105, 0.0041206527113894845, 0]
(娛樂)	永誠行 民生店	Shopping/Retail	[0.7157894736842105, 0.031578947368421054, 0.25263157894736843]
(娛樂)	三美汽車修護廠	Small Business	[0.7032967032967034, 0, 0.2967032967032967]
(地方)	瑞芳美食街8號-豐味肉羹	Food/Grocery	[0.12447552447552447, 0.019580419580419582, 0.855944055944056]
(企業與服務)	祐全動物醫院	Pet Services	[0.7961165048543689, 0.016181229773462782, 0.18770226537216828]
(物品)	猿人森活&海邊的家Café	Travel/Leisure	[0.9430612142246366, 0.004074241738343142, 0.05286454403702027]
(地方)	蜜卡愛吃和食町	Food/Beverages	[0.5224043715846994, 0.001092896174863388, 0.47650273224043715]
(人物與團體)	茶園人文茶館	Local Business	[1.0, 0, 0]
(地方)	中央大飯店	Local Business	[0.025, 0.013541666666666667, 0.9614583333333333]
(物品)	向陽衣著	Local Business	[0.8690476190476191, 0, 0.13095238095238096]
(人物與團體)	班長點名北方麵食館	Tours/Sightseeing	[0.9551451187335093, 0.044854881266490766, 0]
(物品)	三美童裝	Shopping/Retail	[0.9326923076923077, 0.01282051282051282, 0.05448717948717949]
(地方)	美漾晶自助洗車場	Local Business	[0.1383137319860858, 0.006460162332284247, 0.8552261056816299]
(企業與服務)	I 愛鳳館 - 蘋果醫院	Local Business	[0.7757133377571334, 0.030524220305242204, 0.19376244193762443]
(地方)	韓圓捲餅專賣店	Local Business	[0.27037037037037037, 0.2814814814814815, 0.44814814814814813]
(地方)	doue髮匠(輔大)	Spas/Beauty/Personal Care	[0.3951612903225806, 0, 0.6048387096774194]
(地方)	@Matt Bar	Arts/Entertainment/Nightlife	[0.27056705670567055, 0.00522052205220522, 0.7242124212421243]
(地方)	米吉米•咖啡•三明治＊南崁榮興店＊	Restaurant/Cafe	[0.04782608695652174, 0.01956521739130435, 0.9326086956521739]
(地方)	Bin Car車美工坊	Automotive	[0.30538922155688625, 0, 0.6946107784431138]
(地方)	美育奧福-台北信義分校	Education	[0.391304347826087, 0.01391304347826087, 0.5947826086956521]
(物品)	永祥車業	Transportation	[0.863013698630137, 0.0045662100456621, 0.1324200913242009]
(物品)	遠傳台中美村直營門市	Telecommunication	[0.8582677165354331, 0.05249343832020997, 0.08923884514435695]
(地方)	天主教高雄聖加大利納堂	Church/Religious Organization	[0.19325616507297433, 0.024660291897332664, 0.782083543029693]
(人物與團體)	自由二手家具	Shopping/Retail	[0.9607250755287009, 0.027190332326283987, 0.012084592145015106]
(娛樂)	信全輪胎Tire Expert	Automobiles and Parts	[0.7473903966597077, 0, 0.25260960334029225]
(地方)	Ds 髮型沙龍     岡山區維新東街19號	Local Business	[0.4051724137931034, 0.00646551724137931, 0.5883620689655172]
(地方)	全隆機車行	Professional Services	[0.4782608695652174, 0, 0.5217391304347826]
(娛樂)	夢工廠銀飾館	Local Business	[0.7261174408413672, 0.009640666082383873, 0.2642418930762489]
(物品)	Momo&Oscar BNB	Hotel	[0.8651362984218077, 0.0007173601147776184, 0.13414634146341464]
(娛樂)	串明饄日式居酒屋	Bar	[0.600768676435263, 0.006485707422531828, 0.39274561614220516]
(物品)	犬の湯屋spa館	Pet Services	[0.8993288590604027, 0.0044742729306487695, 0.09619686800894854]
(地方)	Toyota桃苗汽車-竹東營業所	Automotive	[0.3266064790228359, 0.006903876792352629, 0.6664896441848115]
(企業與服務)	鳴月蔬食慢活空間	Restaurant/Cafe	[0.7720496894409938, 0.004347826086956522, 0.2236024844720497]
(娛樂)	漁之屋-澎湖海產	Restaurant/Cafe	[0.6771084337349398, 0.01927710843373494, 0.3036144578313253]
(企業與服務)	國防部發言人	Government Organization	[0.8091648539825057, 0.19083514601749432, 0]
(地方)	村子口	Restaurant/Cafe	[0.3650468699493589, 0.016916280573214093, 0.618036849477427]
(人物與團體)	追星趣	Shopping/Retail	[0.9734951696804558, 0.026504830319544218, 0]
(人物與團體)	松菱日本料理 Japanese Restaurant	Restaurant/Cafe	[0.9904420549581839, 0.009557945041816009, 0]
(地方)	人和里土地公	Local Business	[0.02040816326530612, 0, 0.9795918367346939]
(企業與服務)	熊熊蜜蜜 kids	Local Business	[0.8476331360946746, 0.05917159763313609, 0.09319526627218935]
(地方)	銅鑼灣養生會館	Spas/Beauty/Personal Care	[0.4923694779116466, 0.02248995983935743, 0.485140562248996]
(人物與團體)	妙品香快炒	Restaurant/Cafe	[1.0, 0, 0]
(娛樂)	一統車業豐西店	Retail and Consumer Merchandise	[0.6697782963827305, 0, 0.33022170361726955]
(企業與服務)	Chance 3745	Shopping/Retail	[0.8362903225806452, 0.016935483870967744, 0.14677419354838708]
(地方)	迷客夏milkshop台中進化店	Restaurant/Cafe	[0.27601809954751133, 0.004524886877828055, 0.7194570135746606]
(地方)	貓盒子複合式餐飲	Restaurant/Cafe	[0.3163547100337527, 0.006750536974532065, 0.6768947529917152]
(人物與團體)	好味鹽酥雞	Local Business	[1.0, 0, 0]
(地方)	珍愛印象餐坊粉絲團	Restaurant/Cafe	[0.3737931034482759, 0.011954022988505748, 0.6142528735632183]
(企業與服務)	番茄千金	Food/Grocery	[0.8137931034482758, 0, 0.18620689655172415]
(地方)	夢羅Monroe	Restaurant/Cafe	[0.5295247239558329, 0.00048007681228996637, 0.4699951992318771]
(人物與團體)	愛美睫時尚美睫坊	Spas/Beauty/Personal Care	[0.9883616830796778, 0.011638316920322292, 0]
(地方)	鍋士無雙精緻石頭火鍋(新莊店)	Restaurant/Cafe	[0.08585558852621167, 0.00019782393669634025, 0.913946587537092]
(地方)	必勝客 Pizza Hut 桃園中正店	Local Business	[0.08943089430894309, 0, 0.9105691056910569]
(娛樂)	Merit	Local Business	[0.7323943661971831, 0, 0.2676056338028169]
(地方)	禾匠粥品麵食自立店	Food/Grocery	[0.41935483870967744, 0.03225806451612903, 0.5483870967741935]
(娛樂)	MIGHTY Café	Restaurant/Cafe	[0.6968685831622177, 0.011036960985626284, 0.29209445585215604]
(物品)	膜膜人專業包膜	Professional Services	[0.9225888324873096, 0.0038071065989847717, 0.07360406091370558]
(地方)	佛緣居 江姐料理	Food/Grocery	[0.5668789808917197, 0, 0.43312101910828027]
(地方)	Number Nine咖啡&廚房	Restaurant/Cafe	[0.3620848102927662, 0.0027569909413154787, 0.6351581987659184]
(地方)	瑪客思廚房	Restaurant/Cafe	[0.250276650682405, 0.015308004426410919, 0.7344153448911841]
(企業與服務)	My歐廷蔬食咖啡	Restaurant/Cafe	[0.8408163265306122, 0, 0.15918367346938775]
(物品)	米色桔通訊精品	Phone/Tablet	[0.8987341772151899, 0.012658227848101266, 0.08860759493670886]
(地方)	猴子食堂	Restaurant/Cafe	[0.21937086092715233, 0, 0.7806291390728477]
(娛樂)	健野戶外休閒用品	Travel/Leisure	[0.6880733944954128, 0.009174311926605505, 0.30275229357798167]
(娛樂)	Les Suites Grandee	Travel/Leisure	[0.6793478260869565, 0.016304347826086956, 0.30434782608695654]
(地方)	北成診所	Hospital/Clinic	[0.09090909090909091, 0, 0.9090909090909091]
(企業與服務)	美珍堡早餐店	Restaurant/Cafe	[0.8, 0, 0.2]
(地方)	竹崎鄉米多綠森林民宿	Hotel	[0.3196480938416422, 0.001466275659824047, 0.6788856304985337]
(地方)	淡水名統百貨	Shopping/Retail	[0.23241447334267767, 0.000778694907335306, 0.766806831749987]
(娛樂)	MONOCAFÉ	Restaurant/Cafe	[0.614473494149935, 0.015166835187057633, 0.37035967066300735]
(物品)	東京眼鏡	Local Business	[0.9370629370629371, 0.006993006993006993, 0.055944055944055944]
(地方)	統一阪急百貨台北店美人塾	Local Business	[0.16225315452950828, 0.0010185028008827025, 0.836728342669609]
(地方)	帝王食補---中壢志廣店	Food/Beverages	[0.07149299786375504, 0.002136244956088298, 0.9263707571801567]
(地方)	捷運巨蛋站 MRT Kaohsiung Arena Station	Transportation	[0.0793524113556037, 0.0044464713259605515, 0.9162011173184358]
(物品)	某某米有限公司	Media/News/Publishing	[0.893305439330544, 0, 0.10669456066945607]
(地方)	生暉汽車修理廠	Automobiles and Parts	[0.4555160142348754, 0, 0.5444839857651246]
(地方)	華寶潮州沙鍋粥	Restaurant/Cafe	[0.3069306930693069, 0, 0.693069306930693]
(企業與服務)	士林柔道館	Sports Venue	[0.8127208480565371, 0.045936395759717315, 0.1413427561837456]
(物品)	麵麵	Restaurant/Cafe	[0.9330143540669856, 0, 0.06698564593301436]
(物品)	福井日式料理	Restaurant/Cafe	[0.9320695102685624, 0.001579778830963665, 0.06635071090047394]
(娛樂)	上鴻通信	Professional Services	[0.5936329588014981, 0.033707865168539325, 0.37265917602996257]
(地方)	必勝客 Pizza Hut 台北八德店	Local Business	[0.04, 0, 0.96]
(人物與團體)	MIKU韓國精品店	Shopping/Retail	[0.9666029905803307, 0.012449772742243594, 0.02094723667742573]
(地方)	39焗烤家族	Food/Beverages	[0.16538789428815004, 0.04092071611253197, 0.793691389599318]
(物品)	Momo魔髮屋	Spas/Beauty/Personal Care	[0.8793324775353016, 0.01540436456996149, 0.10526315789473684]
(地方)	美心廣東粥	Local Business	[0.37668711656441717, 0.053987730061349694, 0.5693251533742332]
(地方)	miel cafe	Restaurant/Cafe	[0.4119047619047619, 0.0033333333333333335, 0.5847619047619048]
(企業與服務)	佳音英語_北投分校	Education	[0.8305084745762712, 0.01694915254237288, 0.15254237288135594]
(娛樂)	Taipei Home Sweet Home	Hotel	[0.6407766990291263, 0.08737864077669903, 0.27184466019417475]
(地方)	晟海生物科技	Biotechnology	[0.3697478991596639, 0, 0.6302521008403361]
(地方)	MoMo Pasta	Local Business	[0.07231220507588318, 0.002455043999489861, 0.925232750924627]
(人物與團體)	Momo's Nailblog	Spas/Beauty/Personal Care	[0.965956340956341, 0.013513513513513514, 0.02053014553014553]
(地方)	A8 Cafe	Restaurant/Cafe	[0.4305983632692103, 0.021362525241789776, 0.5480391114889999]
(地方)	三日月和食料理	Restaurant/Cafe	[0.20073408429312745, 0.0032907226933299584, 0.7959751930135426]
(地方)	高師傅美式酥皮屋	Restaurant/Cafe	[0.46808510638297873, 0.028368794326241134, 0.5035460992907801]
(企業與服務)	叁捌。旅居	Local Business	[0.8282862651695588, 0.03334467505954406, 0.13836905977089714]
(地方)	花蓮縣景美國小	Education	[0.2590975254730713, 0.026200873362445413, 0.7147016011644832]
(地方)	村億彩券投注站	Business Services	[0.23867069486404835, 0.019637462235649546, 0.7416918429003021]
(地方)	心知足spa養生館 Heart Full Massage center  米黎	Professional Services	[0.5774193548387097, 0.008064516129032258, 0.41451612903225804]
(人物與團體)	Access. Nails and Eyelashes	Spas/Beauty/Personal Care	[0.9790431000395413, 0.02095689996045868, 0]
(人物與團體)	松饌 日式拉麵 。燒烤	Food/Beverages	[0.9831932773109243, 0.01680672268907563, 0]
(地方)	M One Cafe	Local Business	[0.14711595741925457, 0.005050635862104691, 0.8478334067186407]
(人物與團體)	橘鮮果茶飲專賣	Restaurant/Cafe	[1.0, 0, 0]
(企業與服務)	忠珍 溫州大餛飩-中清店	Food/Grocery	[0.7976190476190477, 0.01488095238095238, 0.1875]
(物品)	美信護理之家	Health/Medical/Pharmaceuticals	[0.8571428571428571, 0, 0.14285714285714285]
(人物與團體)	林園鳳芸保善宮-保生大帝	Church/Religious Organization	[0.985518102372035, 0.007740324594257179, 0.006741573033707865]
(娛樂)	城市綠洲桃園店	Outdoor Gear/Sporting Goods	[0.670487106017192, 0.017191977077363897, 0.3123209169054441]
(地方)	梅王山莊	Tours/Sightseeing	[0.19117647058823528, 0.04411764705882353, 0.7647058823529411]
(企業與服務)	黃師父工作室	Health/Medical/Pharmacy	[0.7831858407079646, 0.004424778761061947, 0.21238938053097345]
(娛樂)	麵屋武藏	Food/Beverages	[0.6059514122980356, 0.011565732883877716, 0.3824828548180867]
(地方)	Monkey In Rain 手工窯烤披薩 中壢市日新路31號(近中原商圈	Restaurant/Cafe	[0.3776903106942467, 0.0014236663596013735, 0.6208860229461519]
(企業與服務)	美姿髮之坊	Local Business	[0.7643312101910829, 0.009554140127388535, 0.22611464968152867]
(地方)	羊陶	Attractions/Things to Do	[0.2580877066858375, 0.008626887131560028, 0.7332854061826024]
(地方)	7-Eleven 益華門市	Shopping/Retail	[0.3902439024390244, 0, 0.6097560975609756]
(地方)	米淇風味鍋物	Restaurant/Cafe	[0.2232464505191778, 0.0007416825598643781, 0.7760118669209578]
(地方)	桃子廚房義大利麵	Restaurant/Cafe	[0.44773790951638065, 0.0062402496099844, 0.5460218408736349]
(人物與團體)	曼都髮型大園店	Professional Services	[0.9877551020408163, 0.012244897959183673, 0]
(地方)	圓茗緣茶館	Local Business	[0.2857142857142857, 0, 0.7142857142857143]
(物品)	Meredith梅芮迪絲 美甲美睫	Spas/Beauty/Personal Care	[0.8905321046373365, 0.04971759809750297, 0.059750297265160526]
(地方)	家嘉藥局	Health/Medical/Pharmacy	[0.5, 0, 0.5]
(企業與服務)	漫畫城堡	Book Store	[0.7945205479452054, 0.0136986301369863, 0.1917808219178082]
(物品)	陋巷居	Restaurant/Cafe	[0.8624338624338624, 0, 0.13756613756613756]
(物品)	久必大眼鏡 - mi727	Local Business	[0.894279626290772, 0.044910670381904605, 0.06080970332732339]
(地方)	美立堅科技	Company	[0.23480662983425415, 0.016574585635359115, 0.7486187845303868]
(人物與團體)	楊家古早味雞蛋糕	Food/Grocery	[1.0, 0, 0]
(地方)	甲棧町 割烹。 美酒	Restaurant/Cafe	[0.3423545331529093, 0.009472259810554804, 0.6481732070365359]
(地方)	轉角古早綿綿冰	Local Business	[0.5524625267665952, 0, 0.4475374732334047]
(娛樂)	喬治派克 Georg Peck 台中忠孝店	Restaurant/Cafe	[0.6, 0, 0.4]
(地方)	茶湯會 - 南投彰南店	Tours/Sightseeing	[0.3333333333333333, 0, 0.6666666666666666]
(娛樂)	蒙蒙阿滷 麻辣燙	Food/Grocery	[0.6395348837209303, 0, 0.36046511627906974]
(地方)	辣匠新興店	Restaurant/Cafe	[0.16598430569771408, 0.025929716820197884, 0.808085977482088]
(企業與服務)	美樂屋雞蛋糕	Food/Beverages	[0.7535211267605634, 0.04225352112676056, 0.20422535211267606]
(人物與團體)	邱羊肉店	Food/Grocery	[1.0, 0, 0]
(地方)	迦勒汽車工坊	Automobiles and Parts	[0.2097130242825607, 0.006622516556291391, 0.7836644591611479]
(人物與團體)	美麗都美容美髮技術學院	Professional Services	[0.9880742049469965, 0.0005521201413427562, 0.011373674911660777]
(物品)	樂川櫻田 風華小舖 Zakka	Shopping/Retail	[0.8639819190466407, 0.01993014177111157, 0.11608793918224779]
(企業與服務)	黑格調服飾	Shopping/Retail	[0.7563025210084033, 0.09663865546218488, 0.14705882352941177]
(娛樂)	麵子粉大麵食館	Local Business	[0.6827458256029685, 0.02040816326530612, 0.29684601113172543]
(人物與團體)	Merci cafe	Restaurant/Cafe	[0.9773610511381161, 0.022638948861883907, 0]
(人物與團體)	Ansso髮型沙龍	Spas/Beauty/Personal Care	[1.0, 0, 0]
(企業與服務)	E&M hair salon	Spas/Beauty/Personal Care	[0.7906976744186046, 0, 0.20930232558139536]
